record_id,record_type,target_coordinate,manuscript_tradition,publication_1846,target_1897,tannery_1908,later_edition_errata,modern_scholarship,notice_class,earliest_secure_notice_or_attestation,exact_evidence,source_ids,search_cutoff
W02-PE001,proved_source_error,PDF 025 / L0024,No manuscript-specific notice found in the searched corpus.,Not applicable: Picard’s Introduction was composed for the 1897 volume and has no 1846 parallel witness.,The frozen 1897 target witness prints the form diagnosed in the error ledger.,No explicit item-level notice found in Tannery 1908 for this record.,"A 1977 review proves that the 1976 Bourgne–Azra facsimile printing added supplementary errata and concordances; item-level entries were inaccessible, so no row is attributed to that list.","Comparison transcriptions normalize the word, but no explicit itemized notice was found.",no_prior_notice_found_in_searched_corpus,No explicit prior notice securely dated in the searched corpus.,1897 PDF025/L0024; French morphology; comparison transcription.,SRC-LOCAL-1897;SRC-WIKI-1897,2026-08-13
W03-PE001,proved_source_error,PDF 035 / L0034,No manuscript-specific notice found in the searched corpus.,A parallel 1846 publication exists for this work where applicable; no explicit item-level notice is attributed here unless stated.,The frozen 1897 target witness prints the form diagnosed in the error ledger.,No explicit item-level notice found in Tannery 1908 for this record.,"A 1977 review proves that the 1976 Bourgne–Azra facsimile printing added supplementary errata and concordances; item-level entries were inaccessible, so no row is attributed to that list.",No explicit notice found in the bounded modern corpus.,no_prior_notice_found_in_searched_corpus,No explicit prior notice securely dated in the searched corpus.,See the frozen worker certificate and search ledger.,SRC-LOCAL-1897;SRC-BOURGNE-AZRA-1976,2026-08-13
W03-PE002,proved_source_error,PDF 035 / L0034,No manuscript-specific notice found in the searched corpus.,A parallel 1846 publication exists for this work where applicable; no explicit item-level notice is attributed here unless stated.,The frozen 1897 target witness prints the form diagnosed in the error ledger.,No explicit item-level notice found in Tannery 1908 for this record.,"A 1977 review proves that the 1976 Bourgne–Azra facsimile printing added supplementary errata and concordances; item-level entries were inaccessible, so no row is attributed to that list.",No explicit notice found in the bounded modern corpus.,no_prior_notice_found_in_searched_corpus,No explicit prior notice securely dated in the searched corpus.,See the frozen worker certificate and search ledger.,SRC-LOCAL-1897;SRC-BOURGNE-AZRA-1976,2026-08-13
W03-PE003,proved_source_error,PDF 037 / L0036,No manuscript-specific notice found in the searched corpus.,A parallel 1846 publication exists for this work where applicable; no explicit item-level notice is attributed here unless stated.,The frozen 1897 target witness prints the form diagnosed in the error ledger.,No explicit item-level notice found in Tannery 1908 for this record.,"A 1977 review proves that the 1976 Bourgne–Azra facsimile printing added supplementary errata and concordances; item-level entries were inaccessible, so no row is attributed to that list.",No explicit notice found in the bounded modern corpus.,no_prior_notice_found_in_searched_corpus,No explicit prior notice securely dated in the searched corpus.,See the frozen worker certificate and search ledger.,SRC-LOCAL-1897;SRC-BOURGNE-AZRA-1976,2026-08-13
W04-SE001,proved_source_error,PDF 038 / L0037,No manuscript-specific notice found in the searched corpus.,A parallel 1846 publication exists for this work where applicable; no explicit item-level notice is attributed here unless stated.,The frozen 1897 target witness prints the form diagnosed in the error ledger.,No explicit item-level notice found in Tannery 1908 for this record.,"A 1977 review proves that the 1976 Bourgne–Azra facsimile printing added supplementary errata and concordances; item-level entries were inaccessible, so no row is attributed to that list.",No explicit notice found in the bounded modern corpus.,no_prior_notice_found_in_searched_corpus,No explicit prior notice securely dated in the searched corpus.,See the frozen worker certificate and search ledger.,SRC-LOCAL-1897;SRC-BOURGNE-AZRA-1976,2026-08-13
W04-SE002,proved_source_error,PDF 038 / L0037,No manuscript-specific notice found in the searched corpus.,A parallel 1846 publication exists for this work where applicable; no explicit item-level notice is attributed here unless stated.,The frozen 1897 target witness prints the form diagnosed in the error ledger.,No explicit item-level notice found in Tannery 1908 for this record.,"A 1977 review proves that the 1976 Bourgne–Azra facsimile printing added supplementary errata and concordances; item-level entries were inaccessible, so no row is attributed to that list.",No explicit notice found in the bounded modern corpus.,no_prior_notice_found_in_searched_corpus,No explicit prior notice securely dated in the searched corpus.,See the frozen worker certificate and search ledger.,SRC-LOCAL-1897;SRC-BOURGNE-AZRA-1976,2026-08-13
W04-SE003,proved_source_error,PDF 038 / L0037,No manuscript-specific notice found in the searched corpus.,A parallel 1846 publication exists for this work where applicable; no explicit item-level notice is attributed here unless stated.,The frozen 1897 target witness prints the form diagnosed in the error ledger.,No explicit item-level notice found in Tannery 1908 for this record.,"A 1977 review proves that the 1976 Bourgne–Azra facsimile printing added supplementary errata and concordances; item-level entries were inaccessible, so no row is attributed to that list.",No explicit notice found in the bounded modern corpus.,no_prior_notice_found_in_searched_corpus,No explicit prior notice securely dated in the searched corpus.,See the frozen worker certificate and search ledger.,SRC-LOCAL-1897;SRC-BOURGNE-AZRA-1976,2026-08-13
W04-SE004,proved_source_error,PDF 038 / L0037,No manuscript-specific notice found in the searched corpus.,A parallel 1846 publication exists for this work where applicable; no explicit item-level notice is attributed here unless stated.,The frozen 1897 target witness prints the form diagnosed in the error ledger.,No explicit item-level notice found in Tannery 1908 for this record.,"A 1977 review proves that the 1976 Bourgne–Azra facsimile printing added supplementary errata and concordances; item-level entries were inaccessible, so no row is attributed to that list.",No explicit notice found in the bounded modern corpus.,no_prior_notice_found_in_searched_corpus,No explicit prior notice securely dated in the searched corpus.,See the frozen worker certificate and search ledger.,SRC-LOCAL-1897;SRC-BOURGNE-AZRA-1976,2026-08-13
W05-SE001,proved_source_error,PDF 040-041 / L0039-L0040,No manuscript-specific notice found in the searched corpus.,A parallel 1846 publication exists for this work where applicable; no explicit item-level notice is attributed here unless stated.,The frozen 1897 target witness prints the form diagnosed in the error ledger.,No explicit item-level notice found in Tannery 1908 for this record.,"A 1977 review proves that the 1976 Bourgne–Azra facsimile printing added supplementary errata and concordances; item-level entries were inaccessible, so no row is attributed to that list.",No explicit notice found in the bounded modern corpus.,no_prior_notice_found_in_searched_corpus,No explicit prior notice securely dated in the searched corpus.,See the frozen worker certificate and search ledger.,SRC-LOCAL-1897;SRC-BOURGNE-AZRA-1976,2026-08-13
W05-SE002,proved_source_error,PDF 041 / L0040,No manuscript-specific notice found in the searched corpus.,Liouville’s 1846 footnote explicitly records the p=7 and p=11 exceptions.,The 1897 volume preserves the overbroad main-text claim and reprints Liouville’s corrective footnote.,No explicit item-level notice found in Tannery 1908 for this record.,"A 1977 review proves that the 1976 Bourgne–Azra facsimile printing added supplementary errata and concordances; item-level entries were inaccessible, so no row is attributed to that list.",No explicit notice found in the bounded modern corpus.,explicit_editorial_notice_1846,1846 — Liouville’s printed footnote.,1846 JMPA pp.395–396/local PDFs16–17; 1897 PDF041/L0040.,SRC-LOCAL-1846;SRC-LOCAL-1897,2026-08-13
