query_id,query_date,query,corpus,outcome,novelty_claim,source_ids,exact_coordinates,stable_urls
Q001,2026-08-13,"""déveveloppent"" Galois",web.run plus local 1846/1897/1908 witnesses,No explicit notice located; modern transcription normalizes.,none; no-result language is bounded,SRC-LOCAL-1897;SRC-WIKI-1897,1897 PDF025/L0024; comparison Introduction transcription,https://fr.wikisource.org/wiki/Œuvres_mathématiques/Introduction
Q002,2026-08-13,"Galois fractions continues ""a - B"" ""p - B""",web.run plus local 1846/1897/1908 witnesses,No relevant prior notice located.,none; no-result language is bounded,SRC-LOCAL-1897;SRC-LOCAL-1846,1897 PDF035/L0034; 1846 corresponding continued-fraction article,https://www.numdam.org/item/JMPA_1846_1_11__381_0/
Q003,2026-08-13,"Galois fractions continues ""compris entre 0 et 1""",web.run plus local 1846/1897/1908 witnesses,No relevant prior notice located.,none; no-result language is bounded,SRC-LOCAL-1897;SRC-LOCAL-1846,1897 PDF035/L0034; 1846 corresponding article,https://www.numdam.org/item/JMPA_1846_1_11__381_0/
Q004,2026-08-13,"Galois continued fraction ""3 - 1/A"" ""3-A""",web.run plus local 1846/1897/1908 witnesses,No relevant prior notice located.,none; no-result language is bounded,SRC-LOCAL-1897;SRC-LOCAL-1846,1897 PDF037/L0036; 1846 corresponding article,https://www.numdam.org/item/JMPA_1846_1_11__381_0/
Q005,2026-08-13,"Galois ""Notes sur quelques points d Analyse"" erreur dérivées",web.run plus local 1846/1897/1908 witnesses,Primary publication records found; no itemized notice of W04 defects.,none; no-result language is bounded,SRC-LOCAL-1897;SRC-NUMDAM-1846,1897 PDF038–039/L0037–L0038; Numdam pp. 381–444 corpus,https://www.numdam.org/item/JMPA_1846_1_11__381_0/
Q006,2026-08-13,"Galois ""Analyse d un Mémoire"" degrés supérieurs équations modulaires p=7 p=11",web.run plus local 1846/1897/1908 witnesses,Liouville footnote and later source context located.,none; no-result language is bounded,SRC-LOCAL-1846;SRC-LOCAL-1897,1846 Liouville footnote; 1897 PDF041/L0040,https://www.numdam.org/item/JMPA_1846_1_11__381_0/
Q007,2026-08-13,Galois résolution des équations numériques errata psi radical,web.run plus local 1846/1897/1908 witnesses,No itemized prior notice located.,none; no-result language is bounded,SRC-LOCAL-1897,1897 PDF042–043/L0041–L0042,
Q008,2026-08-13,Galois x^2+x+1 modulo 2 radicaux errata,web.run plus local 1846/1897/1908 witnesses,No scholarly prior notice of the exact source error located.,none; no-result language is bounded,SRC-LOCAL-1897,1897 PDF046/L0045,
Q009,2026-08-13,Galois Chevalier infinity 1 3 4 5 9,web.run plus local 1846/1897/1908 witnesses,1846 correct row and 1897 duplicate established from local witnesses; no explicit published erratum located.,none; no-result language is bounded,SRC-LOCAL-1846;SRC-LOCAL-1897;SRC-LOCAL-1908,1846 Chevalier letter; 1897 PDF058/L0057; Tannery collation,"https://commons.wikimedia.org/wiki/File:Galois_-_Manuscrits,_édition_Tannery,_1908.djvu"
Q010,2026-08-13,"Galois Chevalier ""cette réduction n est pas possible"" ""cette équation""",web.run plus local 1846/1897/1908 witnesses,1846/1897 divergence and Tannery collation established.,none; no-result language is bounded,SRC-LOCAL-1846;SRC-LOCAL-1897;SRC-LOCAL-1908,1846 wording réduction; 1897 PDF058/L0057 équation; Tannery collation,"https://commons.wikimedia.org/wiki/File:Galois_-_Manuscrits,_édition_Tannery,_1908.djvu"
Q011,2026-08-13,"Galois ""celle fonction"" ""cette fonction"" Lemma III",web.run plus local 1846/1897/1908 witnesses,1846 correct form established; no explicit itemized notice located.,none; no-result language is bounded,SRC-LOCAL-1846;SRC-LOCAL-1897,1846 memoir wording; 1897 PDF065/L0064,https://www.numdam.org/item/JMPA_1846_1_11__381_0/
Q012,2026-08-13,Galois proprieté propriété mémoire radicaux,web.run plus local 1846/1897/1908 witnesses,The 1897 spelling defect was confirmed; no 1846 comparison reading for this exact token and no explicit prior notice were established.,none; no-result language is bounded,SRC-LOCAL-1897,1897 PDF071/L0070,
Q013,2026-08-13,Galois Proposition II mémoire proof incomplete,web.run plus local 1846/1897/1908 witnesses,Tannery collation and Dicker 2026 reconstruction located.,none; no-result language is bounded,SRC-LOCAL-1908;SRC-DICKER-2026,Tannery collation; arXiv abstract and submission history,https://arxiv.org/abs/2607.20147
Q014,2026-08-13,Galois Fourier resolvent coefficient vanishes,web.run plus local 1846/1897/1908 witnesses,No prior notice of the exact nonvanishing gap located.,none; no-result language is bounded,SRC-LOCAL-1897;SRC-LOCAL-1908,1897 PDF073/L0072; Tannery collation,
Q015,2026-08-13,Galois (rk+s)k-m(mk+n) errata,web.run plus local 1846/1897/1908 witnesses,No explicit erratum located; same form verified in 1846.,none; no-result language is bounded,SRC-LOCAL-1846;SRC-LOCAL-1897,1846 fragment; 1897 PDF088/L0087,https://www.numdam.org/item/JMPA_1846_1_11__381_0/
Q016,2026-08-13,Galois equations primitives indices Tannery corrections,web.run plus local 1846/1897/1908 witnesses,Tannery 1908 explicit index/formula corrections located.,none; no-result language is bounded,SRC-LOCAL-1897;SRC-LOCAL-1908,1897 PDF082–084; Tannery explicit corrections,"https://commons.wikimedia.org/wiki/File:Galois_-_Manuscrits,_édition_Tannery,_1908.djvu"
Q017,2026-08-13,Galois conjuguées substitutions nineteenth century terminology,web.run plus local 1846/1897/1908 witnesses,Historical terminology studies located; no source equating conjugacy with commutativity.,none; no-result language is bounded,SRC-CAUCHY-TERMS;SRC-NEUMANN-2013,"Hollings 2017, §2.1 footnote 12; Neumann publisher record",https://doi.org/10.1007/s00407-017-0193-8
Q018,2026-08-13,Galois 1897 table des matières Introduction v 1 errata,web.run plus local 1846/1897/1908 witnesses,"Dated Wikisource silent correction v located, last modified 2018-07-22.",none; no-result language is bounded,SRC-LOCAL-1897;SRC-WIKI-TOC,1897 PDF092/L0091; Wikisource page 91 oldid 7722271,"https://fr.wikisource.org/w/index.php?title=Page:Galois_-_Œuvres_mathématiques,_Gauthier-Villars,_1897.djvu/91&oldid=7722271"
Q019,2026-08-13,Bourgne Azra 1976 liste errata concordances Galois,web.run plus local 1846/1897/1908 witnesses,1977 review proves that the 1976 printing added an errata list and two concordances; item-level list not accessible.,none; no-result language is bounded,SRC-BOURGNE-AZRA-1976,"Taton 1977 review, p. 179",https://www.persee.fr/doc/rhs_0151-4105_1977_num_30_2_1486
Q020,2026-08-14,ETH e-rara 1897 Galois table of contents and colophon comparison,web.run plus local 1846/1897/1908 witnesses,"Official ETH PDF and OCR retrieved. PDF page 78 repeats Arabic 1 in the contents; PDF page 79 and OCR resolve the job number as 24572, five digits.",none; no-result language is bounded,SRC-ETH-1897;SRC-LOCAL-1897,ETH PDF pages 78-79; official OCR colophon tail; canonical PDF092-093/L0091-L0092,https://www.e-rara.ch/zut/content/titleinfo/6262819
Q021,2026-08-14,Tannery 1908 Legendre formula E-prime F-double-prime source replay,local 1908 PDF plus 600 ppi TIFF master; DLMF,"Character replay proves the first glyph is E, not F. Exact algebra proves equivalence to DLMF 19.7.1 under the real/imaginary period normalization.",none; apparatus correction and proof certificate,SRC-LOCAL-1908;SRC-DLMF-LEGENDRE,Tannery PDF012 / TIFF 0012; DLMF 19.7.1,https://dlmf.nist.gov/19.7.E1
Q022,2026-08-14,eta1 omega2 eta2 omega1 pi i over 2 Legendre relation,Biblioteca Digitale Italiana di Matematica,Beppo Levi 1927 paper located; its title states the exact half-period/quasiperiod determinant η₁ω₂−η₂ω₁=πi/2.,none; historical normalization corroboration,SRC-BDIM-LEGENDRE-1927,"Bollettino UMI series 1, vol. 6 (1927), no. 3, pp. 137-141",https://www.bdim.eu/item?id=BUMI_1927_1_6_3_137_0
