error_id,worker_id,pdf_page1,jp2_leaf,classification,diplomatic_printed_form,critical_repair,adjudication,minimal_hypotheses,proof_certificate,propagation_outcome,prior_notice_outcome,source_ids,diplomatic_layer_mutated,critical_layer_state
W02-PE001,W02,025,L0024,definite_1897_printed_error,déveveloppent,développent,typographical_repair_proved,none,French morphology and the immediate Picard-context establish that the duplicated syllable in déveveloppent is typographical. Picard’s 1897 Introduction has no 1846 parallel witness.,The Introduction’s meaning is unchanged.,"No earlier witness exists for Picard’s 1897 Introduction. Modern comparison transcriptions normalize the form, but no explicit itemized erratum was found in the searched corpus.",SRC-LOCAL-1897;SRC-WIKI-1897,no,closed
W03-PE001,W03,035,L0034,definite_1897_printed_letter_error,a + 1/(-1/B) = a - B; a - B,"Replace the printed letter a by p in the conjugate expression, giving p-B.",formula_repair_proved,the article’s established integer-part symbol p,"From x=p+1/A and the conjugate A↦-1/B, direct substitution gives p+1/(-1/B)=p-B.",The corrected conjugate and the following interval argument become coherent; no later work cites the misprinted letter.,No prior explicit notice found in the searched corpus.,SRC-LOCAL-1897,no,closed
W03-PE002,W03,035,L0034,definite_1897_printed_sign_error,compris entre 0 et 1,Replace “between 0 and 1” by the inequality -1<p-B<0.,sign_repair_proved,"B has integer part p and fractional part r in (0,1)","Write B=p+r with 0<r<1. Then p-B=-r, hence -1<-r<0.",Repairs the sign used in the conjugate-root discussion; no cross-work dependency.,No prior explicit notice found.,SRC-LOCAL-1897,no,closed
W03-PE003,W03,037,L0036,definite_1897_printed_formula_error,x = 3 - 1/A (printed as the full staircase reciprocal of the positive y expansion),Replace the second value 3-1/A by 3-A.,formula_repair_proved,A is the positive root of 3A^2-2A-3=0,"For A=(1+sqrt(10))/3, exact reduction gives 3(3-A)^2-16(3-A)+18=0, whereas the printed value has nonzero residual.",The final periodic continued fraction evaluates to 3-A; the theorem survives.,No prior explicit notice found.,SRC-LOCAL-1897,no,closed
W04-SE001,W04,038,L0037,substantive_1897_missing_hypothesis,"Soient Fx et fx deux fonctions quelconques données; on aura, quels que soient x et h, [quotient]","Restrict the quotient to pairs (x,h) for which f(x+h)≠f(x).",missing_hypothesis_repaired,f(x+h)≠f(x),"For constant f the denominator vanishes for every x,h, so the printed universal quotient is undefined.",Only the domain of the displayed quotient changes.,No prior explicit notice found.,SRC-LOCAL-1897;SRC-NUMDAM-1846,no,closed
W04-SE002,W04,038,L0037,substantive_1897_false_mathematical_claim,"ce qui démontre, a priori, l'existence des fonctions dérivées",Delete the asserted a-priori existence of derivative functions; replace it by an explicit differentiability or quotient-limit hypothesis.,printed_claim_rejected_counterexample,"existence of the relevant two-sided limit, or differentiability assumptions","F(t)=|t|, f(t)=t at x=0 yields |h|/h with one-sided limits 1 and -1.",The following mean-value discussion can proceed only after the new hypothesis.,No prior explicit notice found.,SRC-LOCAL-1897,no,closed
W04-SE003,W04,038,L0037,substantive_1897_invalid_inference,donc on doit avoir aussi P = phi(k),"Require ψ to be injective on the relevant range, or select and state a single inverse branch φ.",missing_hypothesis_repaired,injectivity or a specified inverse branch,"ψ(0)=ψ(1)=0 makes φ(ψ(P))=P impossible simultaneously for P=0,1.",The inversion step survives under the stated restriction.,No prior explicit notice found.,SRC-LOCAL-1897,no,closed
W04-SE004,W04,038,L0037,substantive_1897_missing_regularity_hypothesis,"à moins qu'elle ne reste constante entre ces limites [...] cette fonction aura, entre x et x+h, un ou plusieurs maxima et minima",Assume continuity on the closed interval; conclude at least one interior extremum unless the function is constant. Claim both a maximum and a minimum only when values occur on both sides of the common endpoint value.,missing_hypothesis_repaired,continuity plus the indicated sign condition for two extrema,"Without continuity, equal endpoint values do not imply attainment: F(0)=F(1)=0 and F(t)=t for 0<t<1 has no maximum.",Supplies the extremum needed for the mean-value argument; the stronger two-extrema wording is qualified.,No prior explicit notice found.,SRC-LOCAL-1897,no,closed
W05-SE001,W05,040-041,L0039-L0040,substantive_1897_too_restrictive_classification,"A part les cas mentionnés ci-dessous [...] deux quelconques de ses racines étant connues, les autres s’en déduisent rationnellement.",Replace the finite exception list by the modern affine theorem: a finite solvable primitive group has a regular elementary-abelian socle and an irreducible point stabilizer; one-dimensional semilinearity is an additional restriction.,printed_classification_rejected_counterexample,finite solvable primitive permutation group,"A degree-8 AΓL(1,8) example already refutes the printed list. Independently, V=F2^4 with H=(C3×C3)⋊C2 of order 18 gives a solvable primitive degree-16 group not contained in ΓL(1,16), since 18 does not divide 60.",The later degree-9/25-only claim at PDF051 is also rejected; see POST-P13-A005.,No prior explicit notice of this exact counterexample was found; modern affine-group theory supplies the replacement framework.,SRC-LOCAL-1897;SRC-AFFINE-PRIMITIVE;SRC-LI-2003,no,closed
W05-SE002,W05,041,L0040,substantive_1897_false_modular_impossibility,"Au contraire, pour des degrés supérieurs, les équations modulaires ne peuvent s’abaisser.",Qualify the impossibility statement by recording the p=7 and p=11 exceptional lowerings.,printed_claim_rejected_source_internal_correction,none beyond the modular-equation setting,Liouville’s footnote in the 1846 and 1897 printings explicitly records these exceptions; exact subgroup indices 7 and 11 corroborate the mechanism.,Feeds directly into W08-PE001’s p=11 matching.,"Earliest explicit notice is Liouville’s 1846 footnote, reprinted in 1897.",SRC-LOCAL-1846;SRC-LOCAL-1897,no,closed
