segment_id	component_id	english_file	english_anchor	french_file	source_pdf	logical_page	status	notes
ENSEG:W05:PDF040:0001	W05	source/english/tex/works/GAL1897_W05_ALGEBRAIC_RESOLUTION_ANALYSIS.tex	% ENSEG:W05:PDF040:0001	source/french_diplomatic/tex/works/GAL1897_W05_ALGEBRAIC_RESOLUTION_ANALYSIS.tex	040	11	translated_aligned	Modern-English segment aligned to the frozen French diplomatic source page; source topology retained.
ENSEG:W05:PDF040:0002	W05	source/english/tex/works/GAL1897_W05_ALGEBRAIC_RESOLUTION_ANALYSIS.tex	% ENSEG:W05:PDF040:0002	source/french_diplomatic/tex/works/GAL1897_W05_ALGEBRAIC_RESOLUTION_ANALYSIS.tex	040	11	translated_aligned	Modern-English segment aligned to the frozen French diplomatic source page; source topology retained.
ENSEG:W05:PDF040:0003	W05	source/english/tex/works/GAL1897_W05_ALGEBRAIC_RESOLUTION_ANALYSIS.tex	% ENSEG:W05:PDF040:0003	source/french_diplomatic/tex/works/GAL1897_W05_ALGEBRAIC_RESOLUTION_ANALYSIS.tex	040	11	translated_aligned	Modern-English segment aligned to the frozen French diplomatic source page; source topology retained.
ENSEG:W05:PDF040:0004	W05	source/english/tex/works/GAL1897_W05_ALGEBRAIC_RESOLUTION_ANALYSIS.tex	% ENSEG:W05:PDF040:0004	source/french_diplomatic/tex/works/GAL1897_W05_ALGEBRAIC_RESOLUTION_ANALYSIS.tex	040	11	translated_aligned	Modern-English segment aligned to the frozen French diplomatic source page; source topology retained.
ENSEG:W05:PDF040:0005	W05	source/english/tex/works/GAL1897_W05_ALGEBRAIC_RESOLUTION_ANALYSIS.tex	% ENSEG:W05:PDF040:0005	source/french_diplomatic/tex/works/GAL1897_W05_ALGEBRAIC_RESOLUTION_ANALYSIS.tex	040	11	translated_aligned	Modern-English segment aligned to the frozen French diplomatic source page; source topology retained.
ENSEG:W05:PDF040:0006	W05	source/english/tex/works/GAL1897_W05_ALGEBRAIC_RESOLUTION_ANALYSIS.tex	% ENSEG:W05:PDF040:0006	source/french_diplomatic/tex/works/GAL1897_W05_ALGEBRAIC_RESOLUTION_ANALYSIS.tex	040	11	translated_aligned	Modern-English segment aligned to the frozen French diplomatic source page; source topology retained.
ENSEG:W05:PDF040:0007	W05	source/english/tex/works/GAL1897_W05_ALGEBRAIC_RESOLUTION_ANALYSIS.tex	% ENSEG:W05:PDF040:0007	source/french_diplomatic/tex/works/GAL1897_W05_ALGEBRAIC_RESOLUTION_ANALYSIS.tex	040	11	translated_aligned	Modern-English segment aligned to the frozen French diplomatic source page; source topology retained.
ENSEG:W05:PDF040:0008	W05	source/english/tex/works/GAL1897_W05_ALGEBRAIC_RESOLUTION_ANALYSIS.tex	% ENSEG:W05:PDF040:0008	source/french_diplomatic/tex/works/GAL1897_W05_ALGEBRAIC_RESOLUTION_ANALYSIS.tex	040	11	translated_aligned	Modern-English segment aligned to the frozen French diplomatic source page; source topology retained.
ENSEG:W05:PDF040:0009	W05	source/english/tex/works/GAL1897_W05_ALGEBRAIC_RESOLUTION_ANALYSIS.tex	% ENSEG:W05:PDF040:0009	source/french_diplomatic/tex/works/GAL1897_W05_ALGEBRAIC_RESOLUTION_ANALYSIS.tex	040	11	translated_aligned	Modern-English segment aligned to the frozen French diplomatic source page; source topology retained.
ENSEG:W05:PDF040:0010	W05	source/english/tex/works/GAL1897_W05_ALGEBRAIC_RESOLUTION_ANALYSIS.tex	% ENSEG:W05:PDF040:0010	source/french_diplomatic/tex/works/GAL1897_W05_ALGEBRAIC_RESOLUTION_ANALYSIS.tex	040	11	translated_aligned	Modern-English segment aligned to the frozen French diplomatic source page; source topology retained.
