worker_id,variant_id,target_pdf_pages,target_jp2_leaves,target_1897_form,other_witness,other_witness_form,classification,source_disposition,required_action,transaction_state,evidence_ids,editorial_instruction
W08,W08-WV001,059,L0058,FE′+EF′−FF′=π/2,"08_1908_MANUSCRIPTS_WITNESS.pdf, PDF page 12",F′F″−E″F′=(π/2)√−1 (as reported by the 1908 collation),substantive_formula_variant,unresolved,defer,staged_isolated,W08-E059A;W08-E1908B,"Preserve the 1897 formula. Do not choose, combine, or normalize the witnesses before a separate mathematical/manuscript audit."
W08,W08-WV002,056,L0055,"p, ν","08_1908_MANUSCRIPTS_WITNESS.pdf, PDF page 11","1908 reports manuscript p, n and Liouville change to p, ν",editorial_notation_normalization,not_error,policy_noop,staged_isolated,W08-E1908A,Preserve the 1897 notation as target-witness evidence; mention manuscript notation only in apparatus.
W08,W08-WV003,056,L0055,Bulletin de Férussac,"08_1908_MANUSCRIPTS_WITNESS.pdf, PDF page 11",bulletin ferussac,editorial_orthographic_normalization,not_error,policy_noop,staged_isolated,W08-E1908A,Preserve the 1897 form; do not import manuscript spelling.
W09,W09-WV001,063,L0062,Two definitional lines are absent after the rational-divisor sentence.,1846 publication PDF039 and 1908 collation PDF014,A general definition of “quantité rationnelle” is present.,documented_1897_omission,unresolved,defer,staged_isolated,W09-E063;W09-E1846-039;W09-E1908-014,Preserve the 1897 omission; quote the missing text only in apparatus or a visibly distinct reconstruction.
W09,W09-WV002,065-066,L0064-L0065,Lemma III is printed with the abbreviated proof and without the Poisson/Galois documents.,1908 collation PDF014,Galois calls the proof insufficient; Poisson/Galois notes in copy/proof were suppressed by Liouville.,manuscript_proof_note_and_suppressed_apparatus,not_error,note_only,staged_isolated,W09-E1908-014,"Keep witness history separate from the 1897 layer; use it to contextualize, not replace, the proof certificate."
W09,W09-WV003,069-070,L0068-L0069,"Proposition II appears after deletion of “de degré p premier”, while p remains.",1908 collation PDF015-016,"Deleted prime-degree draft, Galois incompleteness note, and Liouville’s drafted prime-degree clarification.",revision_history_and_editorial_repair_attempt,not_error,note_only,staged_isolated,W09-E1908-015;W09-E1908-016,Do not silently restore the deleted hypothesis; report revision and repair attempt in apparatus.
W09,W09-WV004,070-071,L0069-L0070,Revised Proposition III plus the interpolated historical footnote.,1908 collation PDF017,New marginal statement dated 1832; prior proof deleted; Liouville deciphered/interpolated the erased text.,authorial_revision_and_editorial_interpolation,not_error,note_only,staged_isolated,W09-E1908-017,Preserve 1897 text/apparatus while distinguishing authorial revision from Liouville interpolation.
W09,W09-WV005,072-073,L0071-L0072,Parenthetical construction sentence is printed in the main text across pages 43-44.,1908 collation PDF017,The sentence is identified as a marginal note.,manuscript_topology_variant,not_error,note_only,staged_isolated,W09-E1908-017,Preserve the 1897 printed placement; record marginal origin in apparatus.
W09,W09-WV006,075,L0074,"Full Cauchy citation to Journal de l’École Polytechnique, XVIIe cahier.",1908 collation PDF017,"Manuscript abbreviation “Journal de l’École, XVII”.",editorial_bibliographic_expansion,not_error,note_only,staged_isolated,W09-E1908-017,Preserve the 1897 citation and record the manuscript abbreviation separately.
W10,W10-WV001,081,L0080,en premier lieu,1908 Tannery collation PDF022,manuscript 1°; Liouville supplied the printed phrase,documented_editorial_expansion,not_error,note_only,staged_isolated,W10-E081;W10-E1908-022,Preserve the 1897 phrase; identify Liouville’s intervention only in apparatus.
W10,W10-WV002,082-084,L0081-L0083,six malformed index/formula forms remain printed,1908 Tannery collation PDF022,"explicit corrections for W10-PE001, PE002, PE003, and PE005",historically_documented_errata,source_error,note_only,staged_isolated,W10-E082;W10-E083;W10-E084;W10-E1908-022,Do not replace the 1897 forms; cite Tannery as historical provenance for critical readings.
W10,W10-WV003,086,L0085,the word est is present,1908 Tannery collation PDF022,est is absent in Galois’s manuscript; Chevalier supplied it,documented_editorial_insertion,not_error,note_only,staged_isolated,W10-E086;W10-E1908-022,Preserve the 1897 wording; note Chevalier’s intervention separately.
W10,W10-WV004,086,L0085,<2 et se trouve par conséquent être 0 ou 1,1908 Tannery collation PDF022,Galois wrote <2 et est par conséquent 0 ou 1; Chevalier expanded the phrase,documented_editorial_rephrasing,not_error,note_only,staged_isolated,W10-E086;W10-E1908-022,Preserve the 1897 phrase; do not merge the manuscript wording.
W10,W10-WV005,087,L0086,"b_{m_1k_1+n_1k_2,m_2k_1+n_2k_2} is printed correctly",1908 Tannery collation PDF022,Tannery notes that 1897 corrects a Chevalier/Liouville error,negative_errata_coverage,not_error,already_present_no_change,staged_isolated,W10-E087;W10-E1908-022,Protect the correct 1897 formula against regression to the erroneous secondary form.
W10,W10-WV006,088,L0087,fixed-point equation includes extra factor m,1846 JMPA publication PDF064,same extra factor m is already present,inherited_publication_error,source_error,note_only,staged_isolated,W10-E088;W10-E1846-064,"The 1846 witness proves inheritance, not correctness; preserve both witnesses separately."
