audit_id,source_scope,task,source_disposition,required_action,transaction_state,start_condition,output
POST-P13-A001,cumulative definite source-error logbook through P13,attempt minimal repairs and prove or reject each repair,source_error,defer,proposed,P12 candidate and P13 cold audit both present,separate errata-repair/provenance ZIP
POST-P13-A002,all later pages and cross-work references,propagate each source error and each successful repair through a dependency graph,unresolved,defer,proposed,A001 diagnoses frozen,machine-readable propagation ledger
POST-P13-A003,online historical and mathematical literature,search whether each erratum was previously noted and record dated provenance,unresolved,defer,proposed,A001 identifiers frozen,query/citation/result ledger
POST-P13-A004,PDF 047 / L0046 mu>nu argument,full proof replay; diagnose only if a defect is proved,unresolved,defer,proposed,post-P13,proof-status certificate
POST-P13-A005,PDF 051 / L0050 converse solvability and degree-9/25 exceptions,historical and modern classification audit; diagnose only if proved,unresolved,defer,proposed,post-P13,classification/provenance certificate
POST-P13-A006,W08-PE001 and later uses of the p=11 exceptional modular lowering,replace the duplicated representative only in a separate critical reconstruction; prove the corrected matching and propagate any dependency; search online scholarship for prior notice,source_error,defer,proposed,P12 candidate and P13 cold audit both present,repair/provenance certificate and dependency edges
POST-P13-A007,W08-PE002 equation/reduction wording,"trace 1832/1846/1897/1908 editorial transmission, assess downstream semantic effect, and search online scholarship for prior notice",source_error,defer,proposed,P12 candidate and P13 cold audit both present,textual stemma/provenance certificate
POST-P13-A008,W08-WV001 Legendre-relation formula,"replay manuscript and printed formulas, determine mathematical meaning and correctness, test downstream consequences, and search historical literature for adjudication",unresolved,defer,proposed,P12 candidate and P13 cold audit both present,formula-variant proof/provenance certificate
POST-P13-A009,W09-PE001 and W09-PE002,"verify textual errata across 1897, 1846, manuscript, later editions, and online scholarship; record earliest known notice",source_error,defer,proposed,P12 candidate and P13 cold audit both present,textual errata provenance ledger
POST-P13-A010,W09-SE001 and all uses of Lemma III,"formalize the gcd/Bézout proof, identify exact hypotheses, and propagate the repaired lemma through Proposition I and later resolvent constructions",source_error,defer,proposed,P12 candidate and P13 cold audit both present,proof-repair and dependency certificate
POST-P13-A011,"W09-SE002, W09-SE003, and dependent group decompositions",replace the undefined-p argument by the field-intersection/index theorem; prove Proposition III by normality; map every downstream dependence,source_error,defer,proposed,P12 candidate and P13 cold audit both present,field-theoretic repair and propagation ledger
POST-P13-A012,W09-SE004 and radical-resolvent constructions,"formalize nonzero Fourier-coefficient selection, determine minimal hypotheses, and propagate the repair through the radical tower",source_error,defer,proposed,P12 candidate and P13 cold audit both present,Fourier-resolvent repair certificate
POST-P13-A013,"W09-SE005, W09-SE006, Propositions VII-VIII",restore Kummer/normality and nonidentity hypotheses; determine which later claims survive; record counterexamples where they do not,source_error,defer,proposed,P12 candidate and P13 cold audit both present,prime-degree theorem repair and propagation ledger
POST-P13-A014,W09-WV001-W09-WV006 and W09 source-error corpus,"search primary bibliographies, critical editions, journal literature, and online scholarship for prior notices and historical provenance; distinguish prior art from new diagnosis",unresolved,defer,proposed,P12 candidate and P13 cold audit both present,external provenance bibliography with claim-status matrix
W10-DA001,PDF080-082 prime-power theorem proof,audit whether the stated unique-block construction follows from the printed hypotheses and provide a complete affine-minimal-normal-subgroup proof if needed,unresolved,defer,proposed,post-P13 bounded repair phase,W10 proof-repair certificate and dependency graph
W10-DA002,PDF084-085 affine-linearity conclusion,make every inherited solvability/support hypothesis explicit and test the unqualified reading against primitive non-affine groups,unresolved,defer,proposed,post-P13 bounded repair phase,qualified theorem or counterexample certificate
W10-DA003,PDF089 pairwise composite equality,determine the exact nineteenth-century force of conjuguées and prove the group-theoretic premise yielding pairwise commutativity/equality,unresolved,defer,proposed,post-P13 bounded repair and provenance phase,terminology/proof certificate with historical citations
W10-DA004,W10-PE001 through W10-SE002,propagate each repair through the p-power and p^2 arguments and record which downstream conclusions survive unchanged,source_error,defer,proposed,P13 complete and cumulative IDs frozen,machine-readable W10 propagation ledger
W11-DA001,W11-PE001 / PDF092 ToC Introduction reference,"search 1897 comparison copies, later editions, catalogues, bibliographies, and scholarship for prior notice of the 1-to-v erratum; record the earliest securely dated notice",source_error,defer,proposed,P12 candidate and P13 cold audit both present,historical-provenance and critical-erratum certificate
W11-DA002,W11-U001 / PDF093 printer job number,compare high-resolution independent 1897 copies or printer records; resolve the four digits only if character-by-character evidence is sufficient,unresolved,defer,proposed,P12 candidate and P13 cold audit both present,witness-comparison reading certificate or continued unresolved status
W11-DA003,P11 terminal topology and P10/P11 boundary,"replay PDF091-PDF096 against the integrated candidate; prove preservation of one predecessor blank, the historical ToC, the colophon, and three trailing blanks",not_error,defer,proposed,P12 candidate present,boundary and terminal-topology audit record
