worker_id,error_id,pdf_page1,jp2_leaf,region,printed_form,normalized_form_not_applied,classification,source_disposition,required_action,transaction_state,evidence_ids,editorial_instruction,critical_normalization_for_future_layer,source_layer_rule,translation_or_critical_layer_rule,proof_status,proof_summary,proof_artifact
W02,W02-PE001,025,L0024,lower half; line break déve-/veloppent,déveveloppent,développent,definite_1897_printed_error,source_error,patch,staged_isolated,W02-E025A,Preserve déveveloppent in the source-faithful French layer; any correction belongs only in a visibly separate critical note.,développent,Preserve the 1897 printed form exactly; do not silently correct or modernize.,Normalization is permitted only in a visibly distinct later layer accompanied by an explicit erratum and the cited proof certificate; the French source-faithful TeX remains unchanged.,proved_philologically,"The 1897 line carry reads 'déve-' followed by 'veloppent', yielding the duplicated sequence 'déveveloppent'. French syntax and morphology require 'développent'; the error is nevertheless retained verbatim in the 1897 French layer.",W02-E025A; expanded_worker_returns/W02_PDF024-029_INTRODUCTION/PRINTED_ERRORS.csv
W03,W03-PE001,035,L0034,upper text block; conjugate-root display and immediately following prose,a + 1/(-1/B) = a - B; a - B,p + 1/(-1/B) = p - B; p - B,definite_1897_printed_letter_error,source_error,patch,staged_isolated,W03-E035A;W03-MATH035A,Preserve each printed a in the source-faithful layer. A correction to p belongs only in a visibly separate critical apparatus.,p + 1/(-1/B) = p - B; p - B,Preserve the 1897 printed form exactly; do not silently correct or modernize.,Normalization is permitted only in a visibly distinct later layer accompanied by an explicit erratum and the cited proof certificate; the French source-faithful TeX remains unchanged.,proved_symbolically,"From x=p+1/A and conjugate(A)=-1/B, conjugation gives p+1/(-1/B)=p-B. The printed letter a is inconsistent with the established variable p.",expanded_worker_returns/W03_PDF030-037_CONTINUED_FRACTIONS/FORMULA_CHECKS.json#page035_letter_error
W03,W03-PE002,035,L0034,upper text block; sentence following conjugate-root display,compris entre 0 et 1,compris entre 0 et -1,definite_1897_printed_sign_error,source_error,patch,staged_isolated,W03-E035A;W03-MATH035B,Preserve the printed positive 1. The algebraic interval correction is ledgered but not silently inserted.,-1 < p-B < 0,Preserve the 1897 printed form exactly; do not silently correct or modernize.,Normalization is permitted only in a visibly distinct later layer accompanied by an explicit erratum and the cited proof certificate; the French source-faithful TeX remains unchanged.,proved_symbolically,"Writing B=p+r with 0<r<1 gives p-B=-r, hence -1<p-B<0. The printed interval between 0 and 1 has the wrong sign.",expanded_worker_returns/W03_PDF030-037_CONTINUED_FRACTIONS/FORMULA_CHECKS.json#page035_interval_sign_error
W03,W03-PE003,037,L0036,middle of page; second expression in les deux valeurs de x display,x = 3 - 1/A (printed as the full staircase reciprocal of the positive y expansion),x = 3 - A,definite_1897_printed_formula_error,source_error,patch,staged_isolated,W03-E037A;W03-MATH037A,Preserve the printed reciprocal display. The following final continued fraction is separately transcribed as printed and evaluates to the corrected smaller root.,x = 3 - A,Preserve the 1897 printed form exactly; do not silently correct or modernize.,Normalization is permitted only in a visibly distinct later layer accompanied by an explicit erratum and the cited proof certificate; the French source-faithful TeX remains unchanged.,proved_symbolically,"Substitution shows 3-A has zero residual in 3x^2-16x+18, whereas the printed 3-1/A has residual -4(-1+sqrt(10))/3 and is not a root.",expanded_worker_returns/W03_PDF030-037_CONTINUED_FRACTIONS/FORMULA_CHECKS.json#page037_correct_second_x;#page037_printed_second_x_error
W04,W04-SE001,038,L0037,§ I theorem; first displayed quotient,"Soient Fx et fx deux fonctions quelconques données; on aura, quels que soient x et h, [quotient]",Require f(x+h) != f(x) before forming the quotient.,substantive_1897_missing_hypothesis,source_error,note_only,staged_isolated,W04-E038A;W04-MATH038B,Preserve the universal printed wording. Add the missing-domain condition only in a visibly separate critical or translated layer with this certificate.,Require f(x+h) != f(x) before forming the quotient.,"Preserve the 1897 printed wording exactly; do not silently correct, strengthen hypotheses, or replace the proof.",A later translation must either translate the historical claim literally with a visible erratum or place any repaired theorem/proof in a separately labelled reconstruction citing this certificate.,proved_exact_domain_counterexample,"For f identically zero, f(x+h)-f(x)=0 for every x,h, so the universally quantified quotient is undefined.",expanded_worker_returns/W04_PDF038-039_NOTES_ANALYSIS/MATHEMATICAL_ERROR_CERTIFICATES.md#W04-SE001; expanded_worker_returns/W04_PDF038-039_NOTES_ANALYSIS/FORMULA_CHECKS.json#W04-MATH038B
W04,W04-SE002,038,L0037,§ I final corollary sentence,"ce qui démontre, a priori, l'existence des fonctions dérivées",No local normalization is sufficient; the universal claim must be translated literally with an erratum or replaced only in a separately reconstructed theorem with explicit hypotheses.,substantive_1897_false_mathematical_claim,source_error,note_only,staged_isolated,W04-E038A;W04-MATH038C,Preserve the printed claim in the source-faithful layer. A future critical layer must cite the |h|/h counterexample.,No local normalization is sufficient; the universal claim must be translated literally with an erratum or replaced only in a separately reconstructed theorem with explicit hypotheses.,"Preserve the 1897 printed wording exactly; do not silently correct, strengthen hypotheses, or replace the proof.",A later translation must either translate the historical claim literally with a visible erratum or place any repaired theorem/proof in a separately labelled reconstruction citing this certificate.,proved_exact_limit_counterexample,"For F(t)=|t|, f(t)=t, x=0, the quotient is |h|/h; the right limit is 1 and the left limit is -1.",expanded_worker_returns/W04_PDF038-039_NOTES_ANALYSIS/MATHEMATICAL_ERROR_CERTIFICATES.md#W04-SE002; expanded_worker_returns/W04_PDF038-039_NOTES_ANALYSIS/FORMULA_CHECKS.json#W04-MATH038C
W04,W04-SE003,038,L0037,§ I proof; transition from k=psi(P) to P=phi(k),donc on doit avoir aussi P = phi(k),Require injectivity of psi or specify an inverse branch before defining phi.,substantive_1897_invalid_inference,source_error,note_only,staged_isolated,W04-E038A;W04-MATH038D,Preserve the printed inference. Any repair belongs only to separate critical apparatus and does not by itself repair the theorem.,Require injectivity of psi or specify an inverse branch before defining phi.,"Preserve the 1897 printed wording exactly; do not silently correct, strengthen hypotheses, or replace the proof.",A later translation must either translate the historical claim literally with a visible erratum or place any repaired theorem/proof in a separately labelled reconstruction citing this certificate.,proved_exact_logical_counterexample,A noninjective ψ with ψ(0)=ψ(1)=0 cannot admit a single-valued φ satisfying P=φ(ψ(P)) for both P=0 and P=1.,expanded_worker_returns/W04_PDF038-039_NOTES_ANALYSIS/MATHEMATICAL_ERROR_CERTIFICATES.md#W04-SE003; expanded_worker_returns/W04_PDF038-039_NOTES_ANALYSIS/FORMULA_CHECKS.json#W04-MATH038D
W04,W04-SE004,038,L0037,§ I proof; assertion that a nonconstant function with equal endpoint values has maxima and minima between them,"à moins qu'elle ne reste constante entre ces limites [...] cette fonction aura, entre x et x+h, un ou plusieurs maxima et minima",Require continuity on the closed interval (or another hypothesis guaranteeing attainment of an interior extremum).,substantive_1897_missing_regularity_hypothesis,source_error,note_only,staged_isolated,W04-E038A;W04-MATH038E,Preserve the printed proof. A future critical layer must state a regularity hypothesis before invoking an extremum argument.,Require continuity on the closed interval (or another hypothesis guaranteeing attainment of an interior extremum).,"Preserve the 1897 printed wording exactly; do not silently correct, strengthen hypotheses, or replace the proof.",A later translation must either translate the historical claim literally with a visible erratum or place any repaired theorem/proof in a separately labelled reconstruction citing this certificate.,proved_exact_extremum_counterexample,A discontinuous function with equal endpoint values can be nonconstant while attaining no maximum and having no interior local extremum; continuity or another attainment hypothesis is required.,expanded_worker_returns/W04_PDF038-039_NOTES_ANALYSIS/MATHEMATICAL_ERROR_CERTIFICATES.md#W04-SE004; expanded_worker_returns/W04_PDF038-039_NOTES_ANALYSIS/FORMULA_CHECKS.json#W04-MATH038E
W05,W05-SE001,040-041,L0039-L0040,"point 3, listed exceptions, and Dans le second cas continuation","A part les cas mentionnés ci-dessous [...] deux quelconques de ses racines étant connues, les autres s’en déduisent rationnellement.",The exception list is incomplete: a solvable primitive degree-8 affine-semilinear example has a nontrivial two-point stabilizer and is not covered by the printed congruence.,substantive_1897_too_restrictive_classification,source_error,note_only,staged_isolated,W05-E040A;W05-E041A;W05-MATH001,Preserve the printed classification. Any correction belongs only in a visibly separate critical or translated layer with the degree-8 certificate.,State the exception classification only after adding the degree-8 affine-semilinear counterexample or replacing the historical result with an explicitly reconstructed theorem.,Preserve the 1897 printed wording exactly; do not silently enlarge the exception list or rewrite the theorem.,"Translate the historical claim literally with an explicit erratum, or place a corrected theorem in a separately labelled critical reconstruction citing the exact certificate.",proved_exact_group_theoretic_counterexample,"AΓL(1,8) has order 168, derived-series orders 168,56,8,1, is two-transitive and primitive of degree 8, and has ordered two-point stabilizer order 3. Degree 8 fails the printed congruence exception. A fixed-field construction yields the required irreducible solvable degree-8 equation.",expanded_worker_returns/W05_PDF040-041_ALGEBRAIC_RESOLUTION_ANALYSIS/MATHEMATICAL_ERROR_CERTIFICATES.md#W05-SE001; expanded_worker_returns/W05_PDF040-041_ALGEBRAIC_RESOLUTION_ANALYSIS/GROUP_THEORY_CHECKS.json#affine_semilinear_degree_8
W05,W05-SE002,041,L0040,second modular result immediately before Liouville’s corrective footnote,"Au contraire, pour des degrés supérieurs, les équations modulaires ne peuvent s’abaisser.",The universal higher-degree impossibility is false for p=7 and p=11; the 1897 Liouville footnote itself records these exceptions.,substantive_1897_false_modular_impossibility,source_error,note_only,staged_isolated,W05-E041B;W05-MATH002,Preserve both the erroneous main-text sentence and Liouville’s historical correction. Do not absorb the footnote into the main text.,"A later normalized statement may list p=5,7,11 as exceptional reductions, with the historical main-text error and Liouville correction explicitly cited.",Preserve the 1897 main text and corrective footnote exactly as distinct historical apparatus.,"Translate both layers literally with an erratum, or state the corrected p=5,7,11 result only in a separately labelled critical layer.",proved_source_internal_and_exact_group_theoretic,"The corrective footnote on PDF 041 explicitly gives p=7 and p=11. Exact enumeration also finds index-7 and index-11 subgroups in PSL(2,7) and PSL(2,11), respectively.",expanded_worker_returns/W05_PDF040-041_ALGEBRAIC_RESOLUTION_ANALYSIS/MATHEMATICAL_ERROR_CERTIFICATES.md#W05-SE002; expanded_worker_returns/W05_PDF040-041_ALGEBRAIC_RESOLUTION_ANALYSIS/GROUP_THEORY_CHECKS.json#modular_exception_p7;#modular_exception_p11
