record_type,worker_id,record_id,pdf_pages,jp2_leaves,region,diplomatic_form_or_description,critical_form_or_alternatives_not_applied,classification,source_disposition,required_action,transaction_state,evidence_ids,editorial_instruction,proof_status,proof_artifact
printed_or_source_error,W02,W02-PE001,025,L0024,lower half; line break déve-/veloppent,déveveloppent,développent,definite_1897_printed_error,source_error,patch,staged_isolated,W02-E025A,Preserve déveveloppent in the source-faithful French layer; any correction belongs only in a visibly separate critical note.,proved_philologically,W02-E025A; expanded_worker_returns/W02_PDF024-029_INTRODUCTION/PRINTED_ERRORS.csv
printed_or_source_error,W03,W03-PE001,035,L0034,upper text block; conjugate-root display and immediately following prose,a + 1/(-1/B) = a - B; a - B,p + 1/(-1/B) = p - B; p - B,definite_1897_printed_letter_error,source_error,patch,staged_isolated,W03-E035A;W03-MATH035A,Preserve each printed a in the source-faithful layer. A correction to p belongs only in a visibly separate critical apparatus.,proved_symbolically,expanded_worker_returns/W03_PDF030-037_CONTINUED_FRACTIONS/FORMULA_CHECKS.json#page035_letter_error
printed_or_source_error,W03,W03-PE002,035,L0034,upper text block; sentence following conjugate-root display,compris entre 0 et 1,compris entre 0 et -1,definite_1897_printed_sign_error,source_error,patch,staged_isolated,W03-E035A;W03-MATH035B,Preserve the printed positive 1. The algebraic interval correction is ledgered but not silently inserted.,proved_symbolically,expanded_worker_returns/W03_PDF030-037_CONTINUED_FRACTIONS/FORMULA_CHECKS.json#page035_interval_sign_error
printed_or_source_error,W03,W03-PE003,037,L0036,middle of page; second expression in les deux valeurs de x display,x = 3 - 1/A (printed as the full staircase reciprocal of the positive y expansion),x = 3 - A,definite_1897_printed_formula_error,source_error,patch,staged_isolated,W03-E037A;W03-MATH037A,Preserve the printed reciprocal display. The following final continued fraction is separately transcribed as printed and evaluates to the corrected smaller root.,proved_symbolically,expanded_worker_returns/W03_PDF030-037_CONTINUED_FRACTIONS/FORMULA_CHECKS.json#page037_correct_second_x;#page037_printed_second_x_error
printed_or_source_error,W04,W04-SE001,038,L0037,§ I theorem; first displayed quotient,"Soient Fx et fx deux fonctions quelconques données; on aura, quels que soient x et h, [quotient]",Require f(x+h) != f(x) before forming the quotient.,substantive_1897_missing_hypothesis,source_error,note_only,staged_isolated,W04-E038A;W04-MATH038B,Preserve the universal printed wording. Add the missing-domain condition only in a visibly separate critical or translated layer with this certificate.,proved_exact_domain_counterexample,expanded_worker_returns/W04_PDF038-039_NOTES_ANALYSIS/MATHEMATICAL_ERROR_CERTIFICATES.md#W04-SE001; expanded_worker_returns/W04_PDF038-039_NOTES_ANALYSIS/FORMULA_CHECKS.json#W04-MATH038B
printed_or_source_error,W04,W04-SE002,038,L0037,§ I final corollary sentence,"ce qui démontre, a priori, l'existence des fonctions dérivées",No local normalization is sufficient; the universal claim must be translated literally with an erratum or replaced only in a separately reconstructed theorem with explicit hypotheses.,substantive_1897_false_mathematical_claim,source_error,note_only,staged_isolated,W04-E038A;W04-MATH038C,Preserve the printed claim in the source-faithful layer. A future critical layer must cite the |h|/h counterexample.,proved_exact_limit_counterexample,expanded_worker_returns/W04_PDF038-039_NOTES_ANALYSIS/MATHEMATICAL_ERROR_CERTIFICATES.md#W04-SE002; expanded_worker_returns/W04_PDF038-039_NOTES_ANALYSIS/FORMULA_CHECKS.json#W04-MATH038C
printed_or_source_error,W04,W04-SE003,038,L0037,§ I proof; transition from k=psi(P) to P=phi(k),donc on doit avoir aussi P = phi(k),Require injectivity of psi or specify an inverse branch before defining phi.,substantive_1897_invalid_inference,source_error,note_only,staged_isolated,W04-E038A;W04-MATH038D,Preserve the printed inference. Any repair belongs only to separate critical apparatus and does not by itself repair the theorem.,proved_exact_logical_counterexample,expanded_worker_returns/W04_PDF038-039_NOTES_ANALYSIS/MATHEMATICAL_ERROR_CERTIFICATES.md#W04-SE003; expanded_worker_returns/W04_PDF038-039_NOTES_ANALYSIS/FORMULA_CHECKS.json#W04-MATH038D
printed_or_source_error,W04,W04-SE004,038,L0037,§ I proof; assertion that a nonconstant function with equal endpoint values has maxima and minima between them,"à moins qu'elle ne reste constante entre ces limites [...] cette fonction aura, entre x et x+h, un ou plusieurs maxima et minima",Require continuity on the closed interval (or another hypothesis guaranteeing attainment of an interior extremum).,substantive_1897_missing_regularity_hypothesis,source_error,note_only,staged_isolated,W04-E038A;W04-MATH038E,Preserve the printed proof. A future critical layer must state a regularity hypothesis before invoking an extremum argument.,proved_exact_extremum_counterexample,expanded_worker_returns/W04_PDF038-039_NOTES_ANALYSIS/MATHEMATICAL_ERROR_CERTIFICATES.md#W04-SE004; expanded_worker_returns/W04_PDF038-039_NOTES_ANALYSIS/FORMULA_CHECKS.json#W04-MATH038E
printed_or_source_error,W05,W05-SE001,040-041,L0039-L0040,"point 3, listed exceptions, and Dans le second cas continuation","A part les cas mentionnés ci-dessous [...] deux quelconques de ses racines étant connues, les autres s’en déduisent rationnellement.",The exception list is incomplete: a solvable primitive degree-8 affine-semilinear example has a nontrivial two-point stabilizer and is not covered by the printed congruence.,substantive_1897_too_restrictive_classification,source_error,note_only,staged_isolated,W05-E040A;W05-E041A;W05-MATH001,Preserve the printed classification. Any correction belongs only in a visibly separate critical or translated layer with the degree-8 certificate.,proved_exact_group_theoretic_counterexample,expanded_worker_returns/W05_PDF040-041_ALGEBRAIC_RESOLUTION_ANALYSIS/MATHEMATICAL_ERROR_CERTIFICATES.md#W05-SE001; expanded_worker_returns/W05_PDF040-041_ALGEBRAIC_RESOLUTION_ANALYSIS/GROUP_THEORY_CHECKS.json#affine_semilinear_degree_8
printed_or_source_error,W05,W05-SE002,041,L0040,second modular result immediately before Liouville’s corrective footnote,"Au contraire, pour des degrés supérieurs, les équations modulaires ne peuvent s’abaisser.",The universal higher-degree impossibility is false for p=7 and p=11; the 1897 Liouville footnote itself records these exceptions.,substantive_1897_false_modular_impossibility,source_error,note_only,staged_isolated,W05-E041B;W05-MATH002,Preserve both the erroneous main-text sentence and Liouville’s historical correction. Do not absorb the footnote into the main text.,proved_source_internal_and_exact_group_theoretic,expanded_worker_returns/W05_PDF040-041_ALGEBRAIC_RESOLUTION_ANALYSIS/MATHEMATICAL_ERROR_CERTIFICATES.md#W05-SE002; expanded_worker_returns/W05_PDF040-041_ALGEBRAIC_RESOLUTION_ANALYSIS/GROUP_THEORY_CHECKS.json#modular_exception_p7;#modular_exception_p11
