segment_id	component_id	english_file	english_anchor	french_file	source_pdf	status	notes
ENSEG:W01:PDF007:0001	W01	source/english/tex/works/GAL1897_W01_PRELIMS.tex	% ENSEG:W01:PDF007:0001	source/french_diplomatic/tex/works/GAL1897_W01_PRELIMS.tex	007	translated_aligned	Modern-English segment aligned to the frozen French diplomatic source page; source topology retained.
ENSEG:W01:PDF012:0002	W01	source/english/tex/works/GAL1897_W01_PRELIMS.tex	% ENSEG:W01:PDF012:0002	source/french_diplomatic/tex/works/GAL1897_W01_PRELIMS.tex	012	translated_aligned	Modern-English segment aligned to the frozen French diplomatic source page; source topology retained.
ENSEG:W01:PDF015:0003	W01	source/english/tex/works/GAL1897_W01_PRELIMS.tex	% ENSEG:W01:PDF015:0003	source/french_diplomatic/tex/works/GAL1897_W01_PRELIMS.tex	015	translated_aligned	Modern-English segment aligned to the frozen French diplomatic source page; source topology retained.
ENSEG:W01:PDF019:0004	W01	source/english/tex/works/GAL1897_W01_PRELIMS.tex	% ENSEG:W01:PDF019:0004	source/french_diplomatic/tex/works/GAL1897_W01_PRELIMS.tex	019	translated_aligned	Modern-English segment aligned to the frozen French diplomatic source page; source topology retained.
ENSEG:W01:PDF021:0005	W01	source/english/tex/works/GAL1897_W01_PRELIMS.tex	% ENSEG:W01:PDF021:0005	source/french_diplomatic/tex/works/GAL1897_W01_PRELIMS.tex	021	translated_aligned	Modern-English segment aligned to the frozen French diplomatic source page; source topology retained.
ENSEG:W02:PDF024:0001	W02	source/english/tex/works/GAL1897_W02_INTRODUCTION.tex	% ENSEG:W02:PDF024:0001	source/french_diplomatic/tex/works/GAL1897_W02_INTRODUCTION.tex	024	translated_aligned	Modern-English segment aligned to the frozen French diplomatic source page; source topology retained.
ENSEG:W02:PDF024:0002	W02	source/english/tex/works/GAL1897_W02_INTRODUCTION.tex	% ENSEG:W02:PDF024:0002	source/french_diplomatic/tex/works/GAL1897_W02_INTRODUCTION.tex	024	translated_aligned	Modern-English segment aligned to the frozen French diplomatic source page; source topology retained.
ENSEG:W02:PDF024:0003	W02	source/english/tex/works/GAL1897_W02_INTRODUCTION.tex	% ENSEG:W02:PDF024:0003	source/french_diplomatic/tex/works/GAL1897_W02_INTRODUCTION.tex	024	translated_aligned	Modern-English segment aligned to the frozen French diplomatic source page; source topology retained.
ENSEG:W02:PDF025:0004	W02	source/english/tex/works/GAL1897_W02_INTRODUCTION.tex	% ENSEG:W02:PDF025:0004	source/french_diplomatic/tex/works/GAL1897_W02_INTRODUCTION.tex	025	translated_aligned	Modern-English segment aligned to the frozen French diplomatic source page; source topology retained.
ENSEG:W02:PDF026:0005	W02	source/english/tex/works/GAL1897_W02_INTRODUCTION.tex	% ENSEG:W02:PDF026:0005	source/french_diplomatic/tex/works/GAL1897_W02_INTRODUCTION.tex	026	translated_aligned	Modern-English segment aligned to the frozen French diplomatic source page; source topology retained.
ENSEG:W02:PDF026:0006	W02	source/english/tex/works/GAL1897_W02_INTRODUCTION.tex	% ENSEG:W02:PDF026:0006	source/french_diplomatic/tex/works/GAL1897_W02_INTRODUCTION.tex	026	translated_aligned	Modern-English segment aligned to the frozen French diplomatic source page; source topology retained.
