task_id	source_scope	status	result	certificate	evidence_pointers
POST-P13-A001	cumulative definite source-error logbook through P13	repaired	All 36 proved source-error records were adjudicated in a separate critical layer. Each has a proved repair, a qualified replacement, or a counterexample rejecting the printed claim; no diplomatic byte was changed.	certificates/POST-P13-A001.md	ledgers/CRITICAL_ERRATA_CATALOGUE.csv; ledgers/DEPENDENCY_PROPAGATION_EDGES.csv; qa/MATHEMATICAL_CHECKS.json
POST-P13-A002	all later pages and cross-work references	proved	A machine-readable graph records local and cross-work dependencies. All downstream outcomes are classified as survives, survives under added hypotheses, or blocked.	certificates/POST-P13-A002.md	ledgers/CRITICAL_ERRATA_CATALOGUE.csv; ledgers/DEPENDENCY_PROPAGATION_EDGES.csv; qa/MATHEMATICAL_CHECKS.json
POST-P13-A003	online historical and mathematical literature	proved	The dated prior-notice matrix covers all 36 errors and 15 variants. It distinguishes explicit notice, correct earlier witness, silent correction, candidate inaccessible errata source, and no notice found.	certificates/POST-P13-A003.md	ledgers/CRITICAL_ERRATA_CATALOGUE.csv; ledgers/DEPENDENCY_PROPAGATION_EDGES.csv; qa/MATHEMATICAL_CHECKS.json
POST-P13-A004	PDF 047 / L0046 mu>nu argument	proved	The μ>ν argument survives: F_{p^ν}⊆F_{p^μ} gives ν|μ, while the reciprocal rational dependence gives μ|ν; hence μ=ν. The printed proof is compressed, not false.	certificates/POST-P13-A004.md	ledgers/CRITICAL_ERRATA_CATALOGUE.csv; ledgers/DEPENDENCY_PROPAGATION_EDGES.csv; qa/MATHEMATICAL_CHECKS.json
POST-P13-A005	PDF 051 / L0050 converse solvability and degree-9/25 exceptions	rejected	The degree-9/25-only converse classification is false. A solvable primitive affine group of degree 16 and order 288 with irreducible complement of order 18 is not one-dimensional semilinear.	certificates/POST-P13-A005.md	ledgers/CRITICAL_ERRATA_CATALOGUE.csv; ledgers/DEPENDENCY_PROPAGATION_EDGES.csv; qa/MATHEMATICAL_CHECKS.json
POST-P13-A006	W08-PE001 and later uses of the p=11 exceptional modular lowering	repaired	The p=11 row is reconstructed with 4 in place of the duplicated 5. The six-pair matching has stabilizer order 60 and index 11 in PSL(2,11).	certificates/POST-P13-A006.md	ledgers/CRITICAL_ERRATA_CATALOGUE.csv; ledgers/DEPENDENCY_PROPAGATION_EDGES.csv; qa/MATHEMATICAL_CHECKS.json
POST-P13-A007	W08-PE002 equation/reduction wording	proved	The 1846 witness prints réduction, the 1897 witness prints équation, and Tannery explicitly collates the substitution in 1908. The change affects semantic scope, not a formula.	certificates/POST-P13-A007.md	ledgers/CRITICAL_ERRATA_CATALOGUE.csv; ledgers/DEPENDENCY_PROPAGATION_EDGES.csv; qa/MATHEMATICAL_CHECKS.json
POST-P13-A008	W08-WV001 Legendre-relation formula	unresolved_after_bounded_search	The 1897/1846 formula is exactly the standard Legendre relation under K/F notation. Tannery’s manuscript double-prime formula is not interpretable with enough certainty from the local notation; it has no downstream use in this volume.	certificates/POST-P13-A008.md	ledgers/CRITICAL_ERRATA_CATALOGUE.csv; ledgers/DEPENDENCY_PROPAGATION_EDGES.csv; qa/MATHEMATICAL_CHECKS.json
POST-P13-A009	W09-PE001 and W09-PE002	proved	The 1846 witness has cette fonction at W09-PE001. W09-PE002 is diagnosed from the 1897 form proprieté itself; no 1846 comparison reading for that exact token was established. No explicit itemized notice was located for either record.	certificates/POST-P13-A009.md	ledgers/CRITICAL_ERRATA_CATALOGUE.csv; ledgers/DEPENDENCY_PROPAGATION_EDGES.csv; qa/MATHEMATICAL_CHECKS.json
POST-P13-A010	W09-SE001 and all uses of Lemma III	repaired	Lemma III is repaired by a gcd/Bézout argument in K(V)[X]. This closes Proposition I and later rational-resolvent uses.	certificates/POST-P13-A010.md	ledgers/CRITICAL_ERRATA_CATALOGUE.csv; ledgers/DEPENDENCY_PROPAGATION_EDGES.csv; qa/MATHEMATICAL_CHECKS.json
POST-P13-A011	W09-SE002, W09-SE003, and dependent group decompositions	repaired	Proposition II is replaced by the field-intersection/index theorem, and Proposition III by the normal-intersection proof. Composite-degree overstatement is rejected by an exact degree-4 example.	certificates/POST-P13-A011.md	ledgers/CRITICAL_ERRATA_CATALOGUE.csv; ledgers/DEPENDENCY_PROPAGATION_EDGES.csv; qa/MATHEMATICAL_CHECKS.json
POST-P13-A012	W09-SE004 and radical-resolvent constructions	repaired	The fixed Fourier coefficient may vanish; the repair chooses a nonzero nontrivial coefficient guaranteed by Fourier inversion. The radical-tower step then survives.	certificates/POST-P13-A012.md	ledgers/CRITICAL_ERRATA_CATALOGUE.csv; ledgers/DEPENDENCY_PROPAGATION_EDGES.csv; qa/MATHEMATICAL_CHECKS.json
POST-P13-A013	W09-SE005, W09-SE006, Propositions VII-VIII	repaired	The Kummer/normality hypotheses and the word nonidentity are restored. Proposition VIII survives; the unqualified Proposition VI statement is refuted by x^3-2.	certificates/POST-P13-A013.md	ledgers/CRITICAL_ERRATA_CATALOGUE.csv; ledgers/DEPENDENCY_PROPAGATION_EDGES.csv; qa/MATHEMATICAL_CHECKS.json
POST-P13-A014	W09-WV001-W09-WV006 and W09 source-error corpus	proved	The W09 corpus was collated against 1846, Tannery 1908, the 1962/1976 critical-edition records, Neumann 2011/2013, and Dicker 2026. Prior art and no-notice findings are separated.	certificates/POST-P13-A014.md	ledgers/CRITICAL_ERRATA_CATALOGUE.csv; ledgers/DEPENDENCY_PROPAGATION_EDGES.csv; qa/MATHEMATICAL_CHECKS.json
W10-DA001	PDF080-082 prime-power theorem proof	repaired	The printed unique-block proof is incomplete. A complete solvable-primitive proof uses a minimal normal elementary-abelian subgroup, whose orbits are blocks; it is transitive, regular, and yields affine degree p^d.	certificates/W10-DA001.md	ledgers/CRITICAL_ERRATA_CATALOGUE.csv; ledgers/DEPENDENCY_PROPAGATION_EDGES.csv; qa/MATHEMATICAL_CHECKS.json
W10-DA002	PDF084-085 affine-linearity conclusion	repaired	Affine linearity is valid under the inherited finite solvable primitive hypotheses. The unqualified primitive reading is false, for example for S_{p^2} in its natural primitive action.	certificates/W10-DA002.md	ledgers/CRITICAL_ERRATA_CATALOGUE.csv; ledgers/DEPENDENCY_PROPAGATION_EDGES.csv; qa/MATHEMATICAL_CHECKS.json
W10-DA003	PDF089 pairwise composite equality	rejected	The premise is rejected. Nineteenth-century conjugate/conjoined substitution terminology does not imply pairwise commutation; explicit conjugate projective maps on P¹(F7) fail to commute.	certificates/W10-DA003.md	ledgers/CRITICAL_ERRATA_CATALOGUE.csv; ledgers/DEPENDENCY_PROPAGATION_EDGES.csv; qa/MATHEMATICAL_CHECKS.json
W10-DA004	W10-PE001 through W10-SE002	repaired	All six printed notation/formula repairs and both identity qualifications were propagated. The affine order counts survive; the terminal PDF089 p=3 inference remains blocked by W10-DA003.	certificates/W10-DA004.md	ledgers/CRITICAL_ERRATA_CATALOGUE.csv; ledgers/DEPENDENCY_PROPAGATION_EDGES.csv; qa/MATHEMATICAL_CHECKS.json
W11-DA001	W11-PE001 / PDF092 ToC Introduction reference	proved	The earliest securely dated correction found is the Harvard-copy Wikisource page printing v, last modified 2018-07-22. Earlier item-level errata in the 1976 list could not be inspected.	certificates/W11-DA001.md	ledgers/CRITICAL_ERRATA_CATALOGUE.csv; ledgers/DEPENDENCY_PROPAGATION_EDGES.csv; qa/MATHEMATICAL_CHECKS.json
W11-DA002	W11-U001 / PDF093 printer job number	unresolved_after_bounded_search	The local four digits remain fused. ETH provides an independent 1897 copy and IIIF/download metadata, but the high-resolution page bytes were not retrievable in the bounded environment; no character-by-character resolution is claimed.	certificates/W11-DA002.md	ledgers/CRITICAL_ERRATA_CATALOGUE.csv; ledgers/DEPENDENCY_PROPAGATION_EDGES.csv; qa/MATHEMATICAL_CHECKS.json
W11-DA003	P11 terminal topology and P10/P11 boundary	proved	Replay proves the terminal topology: PDF091 predecessor blank, PDF092 historical contents, PDF093 colophon, and three distinct trailing blanks PDF094-096.	certificates/W11-DA003.md	ledgers/CRITICAL_ERRATA_CATALOGUE.csv; ledgers/DEPENDENCY_PROPAGATION_EDGES.csv; qa/MATHEMATICAL_CHECKS.json
