component_id	component_title	french_file	exact_source_scope	english_file	translation_status	segment_count	critical_note_ids	source_page_records	notes
W01	Preliminary matter and portraits	source/french_diplomatic/tex/works/GAL1897_W01_PRELIMS.tex	PDF001-PDF023 / L0000-L0022; 5 substantive, 14 blank, 4 excluded	source/english/tex/works/GAL1897_W01_PRELIMS.tex	complete_post_P13_integrated_semantic_and_render_QA_passed_pending_publication	5		PDF001;PDF002;PDF003;PDF004;PDF005;PDF006;PDF007;PDF008;PDF009;PDF010;PDF011;PDF012;PDF013;PDF014;PDF015;PDF016;PDF017;PDF018;PDF019;PDF020;PDF021;PDF022;PDF023	All substantive historical prose translated; formulas and source-coordinate topology preserved; critical apparatus remains a separate layer.
W02	Émile Picard's Introduction	source/french_diplomatic/tex/works/GAL1897_W02_INTRODUCTION.tex	PDF024-PDF029 / L0023-L0028; printed folios v-x	source/english/tex/works/GAL1897_W02_INTRODUCTION.tex	complete_post_P13_integrated_semantic_and_render_QA_passed_pending_publication	8	W02-PE001	PDF024;PDF025;PDF026;PDF027;PDF028;PDF029	All substantive historical prose translated; formulas and source-coordinate topology preserved; critical apparatus remains a separate layer.
W03	Proof of a Theorem on Periodic Continued Fractions	source/french_diplomatic/tex/works/GAL1897_W03_CONTINUED_FRACTIONS.tex	PDF030-PDF037 / L0029-L0036; printed pages 1-8	source/english/tex/works/GAL1897_W03_CONTINUED_FRACTIONS.tex	complete_post_P13_integrated_semantic_and_render_QA_passed_pending_publication	12	W03-PE001;W03-PE002;W03-PE003	PDF030;PDF031;PDF032;PDF033;PDF034;PDF035;PDF036;PDF037	All substantive historical prose translated; formulas and source-coordinate topology preserved; critical apparatus remains a separate layer.
W04	Notes on Some Points in Analysis	source/french_diplomatic/tex/works/GAL1897_W04_NOTES_ANALYSIS.tex	PDF038-PDF039 / L0037-L0038; printed pages 9-10	source/english/tex/works/GAL1897_W04_NOTES_ANALYSIS.tex	complete_post_P13_integrated_semantic_and_render_QA_passed_pending_publication	7	W04-SE001;W04-SE002;W04-SE003;W04-SE004	PDF038;PDF039	All substantive historical prose translated; formulas and source-coordinate topology preserved; critical apparatus remains a separate layer.
W05	Analysis of a Memoir on the Algebraic Solution of Equations	source/french_diplomatic/tex/works/GAL1897_W05_ALGEBRAIC_RESOLUTION_ANALYSIS.tex	PDF040-PDF041 / L0039-L0040; printed pages 11-12	source/english/tex/works/GAL1897_W05_ALGEBRAIC_RESOLUTION_ANALYSIS.tex	complete_post_P13_integrated_semantic_and_render_QA_passed_pending_publication	21	W05-SE001;W05-SE002	PDF040;PDF041	All substantive historical prose translated; formulas and source-coordinate topology preserved; critical apparatus remains a separate layer.
W06	Note on the Solution of Numerical Equations	source/french_diplomatic/tex/works/GAL1897_W06_NUMERICAL_EQUATIONS.tex	PDF042-PDF043 / L0041-L0042; printed pages 13-14	source/english/tex/works/GAL1897_W06_NUMERICAL_EQUATIONS.tex	complete_post_P13_integrated_semantic_and_render_QA_passed_pending_publication	27	W06-PE001;W06-SE001	PDF042;PDF043	All substantive historical prose translated; formulas and source-coordinate topology preserved; critical apparatus remains a separate layer.
W07	On the Theory of Numbers	source/french_diplomatic/tex/works/GAL1897_W07_NUMBER_THEORY.tex	PDF044-PDF053 / L0043-L0052; printed pages 15-24 plus blank	source/english/tex/works/GAL1897_W07_NUMBER_THEORY.tex	complete_post_P13_integrated_semantic_and_render_QA_passed_pending_publication	125	W07-SE001;W07-SE002;W07-SE003;W07-SE004;W07-SE005	PDF044;PDF045;PDF046;PDF047;PDF048;PDF049;PDF050;PDF051;PDF052;PDF053	All substantive historical prose translated; formulas and source-coordinate topology preserved; critical apparatus remains a separate layer.
W08	Letter to Auguste Chevalier	source/french_diplomatic/tex/works/GAL1897_W08_CHEVALIER_LETTER.tex	PDF054-PDF061 / L0053-L0060; printed pages 25-32	source/english/tex/works/GAL1897_W08_CHEVALIER_LETTER.tex	complete_post_P13_integrated_semantic_and_render_QA_passed_pending_publication	125	W08-PE001;W08-PE002;W08-WV001;W08-WV002;W08-WV003	PDF054;PDF055;PDF056;PDF057;PDF058;PDF059;PDF060;PDF061	All substantive historical prose translated; formulas and source-coordinate topology preserved; critical apparatus remains a separate layer.
W09	Memoir on the Conditions for the Solvability of Equations by Radicals	source/french_diplomatic/tex/works/GAL1897_W09_RADICALS_MEMOIR.tex	PDF062-PDF079 / L0061-L0078; printed pages 33-50	source/english/tex/works/GAL1897_W09_RADICALS_MEMOIR.tex	complete_post_P13_integrated_semantic_and_render_QA_passed_pending_publication	215	W09-PE001;W09-PE002;W09-SE001;W09-SE002;W09-SE003;W09-SE004;W09-SE005;W09-SE006;W09-WV001;W09-WV002;W09-WV003;W09-WV004;W09-WV005;W09-WV006	PDF062;PDF063;PDF064;PDF065;PDF066;PDF067;PDF068;PDF069;PDF070;PDF071;PDF072;PDF073;PDF074;PDF075;PDF076;PDF077;PDF078;PDF079	All substantive historical prose translated; formulas and source-coordinate topology preserved; critical apparatus remains a separate layer.
W10	On Primitive Equations Solvable by Radicals (Fragment)	source/french_diplomatic/tex/works/GAL1897_W10_PRIMITIVE_EQUATIONS.tex	PDF080-PDF091 / L0079-L0090; printed pages 51-62 plus blank	source/english/tex/works/GAL1897_W10_PRIMITIVE_EQUATIONS.tex	complete_post_P13_integrated_semantic_and_render_QA_passed_pending_publication	24	W10-DA001;W10-DA002;W10-DA003;W10-DA004;W10-NA001;W10-PE001;W10-PE002;W10-PE003;W10-PE004;W10-PE005;W10-PE006;W10-SE001;W10-SE002;W10-TERM001;W10-WV001;W10-WV002;W10-WV003;W10-WV004;W10-WV005;W10-WV006	PDF080;PDF081;PDF082;PDF083;PDF084;PDF085;PDF086;PDF087;PDF088;PDF089;PDF090;PDF091	All substantive historical prose translated; formulas and source-coordinate topology preserved; critical apparatus remains a separate layer.
W11	Historical Table of Contents, Colophon, and Trailing Leaves	source/french_diplomatic/tex/works/GAL1897_W11_BACKMATTER.tex	PDF092-PDF096 / L0091-L0095; contents, colophon, 3 blanks	source/english/tex/works/GAL1897_W11_BACKMATTER.tex	complete_post_P13_integrated_semantic_and_render_QA_passed_pending_publication	18	W11-DA003;W11-PE001;W11-U001	PDF092;PDF093;PDF094;PDF095;PDF096	All substantive historical prose translated; formulas and source-coordinate topology preserved; critical apparatus remains a separate layer.
